Player,Banker,Result
"2♠️, 8♥️","4♦️, 5♦️",B
"8♠️, 7♠️, 8♣️","A♠️, K♥️, 7♦️",B
"9♥️, 6♥️","2♦️, 6♣️",B
"9♥️, J♠️","J♦️, K♣️",P
"J♣️, 5♦️, J♥️","2♦️, 9♦️, A♠️",P
"8♥️, 3♠️, 9♥️","J♦️, 3♦️, 8♥️",B
"10♦️, 2♣️, 4♦️","3♦️, 10♣️, 10♦️",P
"J♥️, 10♣️, 9♣️","3♥️, 10♥️, 5♠️",P
"7♥️, 8♣️, 5♦️","A♠️, 4♥️, 6♣️",B
"6♥️, 6♦️, K♣️","5♥️, K♠️",B
"10♣️, 9♠️","9♠️, 7♥️",P
"7♦️, 4♣️, A♠️","Q♦️, 4♥️",B
"8♥️, 5♦️","2♠️, 7♦️",B
"7♣️, Q♦️","2♣️, 5♦️",T
"9♥️, J♣️","9♣️, 10♦️",T
"K♣️, 10♥️, 6♠️","8♦️, 8♥️, 6♦️",P
"2♦️, A♣️, 9♥️","A♦️, K♠️, A♣️",T
"2♦️, 9♠️, 10♠️","8♥️, 4♣️, Q♣️",B
"A♦️, 9♦️, J♠️","8♠️, 5♥️, 10♠️",B
"2♣️, K♠️, 3♥️","6♠️, A♣️",B
"5♠️, K♦️, 6♣️","6♣️, 10♦️, 6♦️",B
"J♣️, K♥️","2♠️, 6♥️",B
"J♦️, 10♥️, 8♣️","9♣️, 7♥️",P
"Q♥️, J♣️, 8♠️","3♠️, 4♥️",P
"9♠️, Q♣️","8♠️, A♣️",T
"A♦️, 6♠️","4♥️, 9♥️, 3♣️",P
"K♦️, Q♣️, 7♥️","4♥️, 3♣️",T
"2♦️, K♣️, 8♠️","Q♣️, A♠️, 5♥️",B
"10♠️, 6♠️","7♦️, 3♦️, 8♦️",B
"4♣️, 10♦️, 8♦️","Q♣️, 6♦️",B
"4♦️, 2♣️","8♣️, 10♣️",B
"Q♣️, J♣️, 3♠️","6♥️, 10♣️",B
"A♣️, 3♣️, Q♣️","8♦️, 8♠️",B
"Q♦️, 5♦️, 6♥️","7♣️, Q♣️",B
"4♦️, 10♥️, 5♦️","A♠️, J♦️, A♦️",P
"2♥️, 7♠️","5♣️, 8♥️",P
"K♠️, 7♣️","3♦️, 6♠️",B
"K♠️, 10♦️, 3♠️","A♣️, Q♥️, 7♥️",B
"A♠️, Q♠️, Q♣️","10♥️, 2♦️, Q♣️",B
"Q♣️, 7♦️","7♥️, 3♠️, Q♦️",P
"6♥️, 6♠️, 4♥️","3♥️, A♦️, 7♣️",P
"8♠️, 2♠️","J♥️, 9♣️",B
"2♣️, 6♠️","6♠️, 8♣️",P
"5♦️, 5♦️, 4♦️","10♣️, Q♣️, 8♦️",B
"9♣️, J♠️","5♥️, 5♦️",P
"9♥️, 2♦️, 2♠️","2♦️, J♠️, A♣️",T
"10♦️, 6♣️","K♠️, 8♥️",B
"8♣️, K♥️","A♦️, Q♦️",P
"2♣️, J♦️, 5♠️","K♣️, 7♠️",T
"A♠️, 5♥️","10♠️, K♣️, A♦️",P
"K♣️, J♣️, 8♣️","J♣️, Q♣️, 6♠️",P
"10♠️, 3♦️, K♠️","5♥️, 5♦️, 8♦️",B
"4♠️, A♥️, 9♣️","6♣️, 8♥️",T
"10♥️, A♣️, 6♣️","9♠️, 4♣️, 5♣️",B
"9♣️, 2♣️, 9♥️","5♠️, A♣️",B
"J♥️, 9♦️","Q♣️, 7♠️",P
"K♥️, 6♦️","3♣️, K♥️, 6♠️",B
"A♠️, 10♠️, A♦️","4♠️, 3♥️",B
"A♦️, A♠️","J♣️, 9♣️",B
"7♦️, A♥️","2♣️, J♣️",P
"5♠️, 6♣️, 10♥️","6♥️, 8♠️",B
"10♥️, 3♣️, 5♣️","K♦️, 2♣️, 8♣️",P
"9♣️, A♠️","8♦️, A♦️",B
"2♥️, A♥️","8♦️, K♠️",B
"8♠️, J♣️","3♥️, 8♠️",P
"K♣️, 9♣️","A♣️, 3♦️",P
"K♠️, Q♣️, 10♠️","5♣️, A♥️",B
"J♥️, 8♥️","A♥️, 3♠️",P
"A♠️, 2♥️","4♦️, 5♣️",B
"A♥️, K♣️, Q♦️","J♦️, K♠️, 10♥️",P
"5♣️, 6♣️","9♣️, J♣️",B
"J♦️, J♠️, J♠️","9♦️, 3♥️, 9♦️",B
"K♥️, 8♣️","4♣️, Q♠️",P
"10♠️, 2♥️, 3♣️","Q♠️, K♥️, 9♣️",B
"K♠️, 8♦️","K♣️, 2♦️",P
"9♦️, 8♣️","5♣️, 5♣️, A♠️",P
"6♣️, A♥️","4♠️, 5♦️",B
"2♣️, 2♦️","Q♣️, 8♦️",B
"10♦️, 10♦️, K♣️","9♦️, 8♥️",B
"A♦️, 9♥️, 7♥️","K♥️, 2♠️, J♦️",P
"A♦️, 6♦️","5♣️, Q♦️, Q♦️",P
"J♣️, 5♠️","Q♦️, 9♠️",B
"5♠️, 3♥️","A♠️, 4♥️",P
"8♠️, 6♠️, 2♠️","6♥️, 7♣️, A♥️",P
"8♠️, A♠️","A♣️, 5♠️",P
"6♦️, 10♣️","K♣️, 2♦️, J♥️",P
"4♠️, 3♦️","2♠️, K♥️, 7♠️",B
"K♦️, 5♦️, Q♥️","5♦️, J♣️",T
"10♥️, A♦️, 2♠️","5♠️, K♣️",B
"6♣️, 4♣️, 8♦️","Q♠️, K♥️, K♠️",P
"2♥️, J♠️, A♠️","10♣️, 5♦️",B
"2♥️, 9♠️, 9♠️","5♥️, K♣️",B
"Q♥️, 7♣️","5♦️, K♥️, A♥️",P
"A♠️, 10♦️, 8♦️","K♣️, 6♦️",P
"2♥️, 9♣️, Q♠️","Q♦️, 10♦️, K♠️",P
"6♦️, A♠️","Q♥️, K♣️, 8♠️",B
"Q♣️, 10♠️, 7♦️","7♦️, 4♦️, 9♣️",P
"10♣️, 2♣️","10♥️, 9♣️",B
"9♣️, 8♥️","2♥️, 5♣️",T
"10♦️, 8♠️","J♦️, 10♠️",P
"7♠️, 7♥️, 2♦️","6♥️, 7♣️, J♦️",P
"Q♠️, K♣️, 7♦️","4♦️, 6♠️, 10♥️",P
"A♦️, A♠️, J♥️","10♥️, 2♥️, 9♠️",P
"K♣️, A♠️","10♥️, 9♠️",B
"K♥️, 5♣️, 5♠️","2♠️, 9♦️, 2♣️",B
"6♣️, 4♦️","4♣️, 4♦️",B
"2♣️, 7♦️","2♦️, 2♣️",P
"9♥️, 6♦️, A♦️","Q♦️, K♣️, Q♣️",P
"4♥️, 9♦️, 2♦️","5♦️, Q♠️",T
"A♠️, 3♥️, 2♥️","K♠️, A♥️, 10♦️",P
"K♠️, A♠️, 3♠️","A♠️, Q♦️, 5♠️",B
"10♣️, 8♣️","5♠️, 9♦️",P
"8♦️, 5♠️, 4♦️","K♠️, 5♠️, 7♥️",P
"2♦️, K♦️, K♣️","5♥️, K♠️",B
"K♥️, Q♠️, J♠️","2♦️, 4♦️",B
"5♠️, 6♥️, 6♣️","10♥️, 3♥️, 2♦️",P
"Q♣️, 4♥️, 10♦️","6♠️, A♣️",B
"8♥️, 2♠️","Q♣️, 8♠️",B
"8♥️, 5♥️, 4♣️","5♦️, K♠️, 8♥️",P
"4♣️, 10♠️, Q♥️","9♣️, 3♠️, 9♣️",P
"9♣️, A♦️, 5♥️","10♦️, 2♣️, 2♠️",P
"6♥️, 3♣️","7♥️, 8♣️",P
"A♠️, 7♠️","8♣️, 10♣️",T
"9♥️, 9♥️","8♦️, 4♦️",P
"A♦️, J♠️, 4♥️","6♠️, J♦️",B
"7♥️, 4♣️, 2♠️","5♣️, 9♠️, Q♣️",B
"3♦️, 9♦️, 6♥️","8♣️, 2♠️, 7♣️",P
"7♦️, K♣️","3♥️, 9♠️, J♠️",P
"4♣️, K♥️, 5♣️","3♣️, 7♦️, J♣️",P
"6♦️, A♠️","Q♣️, 5♦️, 2♥️",T
"3♥️, 4♦️","9♣️, 7♥️",P
"K♥️, 6♦️","6♣️, 2♥️",B
"9♥️, K♠️","J♣️, Q♥️",P
"Q♣️, J♠️, 7♠️","K♠️, 2♣️, 2♣️",P
"6♣️, 7♥️, 10♥️","Q♦️, 3♣️, 10♦️",T
"7♣️, 9♦️","10♣️, Q♥️, 5♥️",P
"7♦️, 5♠️, J♣️","8♠️, 6♠️",B
"J♣️, 10♥️, 9♣️","3♣️, 4♦️",P
"4♥️, A♣️, 3♦️","K♦️, Q♥️, J♥️",P
"5♦️, 4♠️","5♥️, 6♣️",P
"J♥️, A♦️, A♠️","7♣️, 7♥️",B
"10♦️, 3♠️, 9♠️","J♠️, 6♦️",B
"6♦️, 5♥️, 4♣️","7♣️, J♥️",B
"7♦️, 2♥️","K♠️, 10♠️",P
"Q♦️, 3♣️, 6♣️","7♠️, 7♣️, 6♠️",P
"5♦️, 9♥️, J♠️","K♣️, 2♣️, 2♠️",T
"10♠️, 8♦️","3♥️, 7♠️",P
"K♣️, 9♠️","9♥️, 5♥️",P
"A♠️, 9♦️, 9♣️","3♦️, J♥️, 9♣️",P
"8♣️, Q♣️","K♣️, 9♠️",T
"4♣️, 4♦️","2♣️, A♦️",P
"7♣️, 5♣️, 9♥️","3♥️, K♠️, 3♠️",B
"Q♠️, Q♥️, K♣️","3♣️, 10♠️, Q♠️",B
"9♦️, 4♦️, 7♠️","7♥️, 3♠️, 9♠️",B
"9♦️, 8♣️","A♠️, 4♥️, 9♦️",P
"9♥️, Q♠️","K♣️, 8♣️",T
"9♥️, 4♠️, 6♥️","4♥️, 7♦️, 4♥️",P
"10♦️, Q♦️, 3♦️","7♠️, 6♥️, 8♣️",P
"3♦️, 6♦️","9♠️, 9♦️",T
"8♣️, 2♠️","5♣️, 3♥️",B
"6♣️, 9♦️, 8♥️","3♦️, A♦️",B
"5♦️, A♦️","K♥️, 3♥️, J♥️",P
"3♥️, 8♥️, K♣️","J♠️, A♦️, 7♦️",B
"3♥️, 7♣️, 4♦️","J♠️, 5♥️, A♣️",B
"8♦️, J♦️","A♥️, 7♥️",T
"Q♣️, A♠️, 6♠️","K♣️, Q♦️, 6♠️",P
"A♣️, 5♥️","9♦️, 7♥️",T
"A♥️, 8♥️","K♦️, 2♦️",P
"10♥️, 5♦️","J♣️, 9♣️",B
"4♣️, 7♦️","A♣️, 7♥️",B
"2♠️, 9♣️, 7♠️","J♠️, 7♦️",P
"4♥️, K♥️, 6♣️","4♦️, 8♠️, 5♥️",B
"J♣️, 10♥️","8♣️, Q♦️",B
"A♣️, K♦️, 9♠️","4♥️, 2♣️",B
"K♥️, 8♣️","5♣️, 3♦️",T
"4♠️, A♥️","9♠️, 10♦️",B
"Q♦️, 2♣️, 2♥️","2♦️, 4♠️",B
"7♠️, J♦️","A♦️, A♦️, J♥️",P
"3♥️, 7♠️, Q♦️","4♣️, K♦️",B
"10♥️, 6♣️","3♣️, 3♦️",T
"Q♠️, A♥️, 10♦️","2♥️, A♦️, 6♣️",B
"A♣️, 6♥️","10♣️, J♥️, K♦️",P
"Q♠️, 3♠️","K♣️, 8♠️",B
"7♥️, A♦️","K♠️, 3♦️",P
"K♦️, J♥️, 6♣️","7♦️, Q♦️",B
"A♦️, 8♣️","6♥️, J♠️",P
"K♠️, 7♥️","4♠️, 8♣️, A♥️",P
"6♥️, 7♦️, J♦️","10♠️, A♠️, 10♠️",P
"6♠️, 8♥️, J♣️","5♠️, J♦️",B
"10♥️, 8♥️","K♣️, 7♦️",P
"7♦️, 5♦️, 2♠️","Q♦️, 5♠️",B
"5♦️, A♠️","9♦️, 10♣️",B
"A♠️, 5♠️","9♥️, 5♦️, 9♠️",P
"6♦️, 10♠️","6♥️, 10♥️",T
"10♥️, Q♥️, 10♥️","J♦️, 3♦️, 5♠️",B
"3♣️, 6♦️","4♥️, J♦️",P
"6♥️, 10♣️","5♥️, 5♦️, K♠️",P
"A♠️, K♦️, 5♣️","2♠️, 2♦️, 4♥️",B
"A♦️, 3♣️, 4♣️","J♣️, 7♣️",P
"4♥️, 3♠️","K♣️, 5♠️, 4♦️",B
"2♥️, 9♥️","9♥️, K♥️",B
"J♠️, J♦️, 4♠️","5♣️, A♦️",B
"Q♦️, J♦️, 10♥️","5♥️, 10♥️",B
"2♣️, 10♠️, J♥️","6♣️, 5♥️, 5♥️",B
"9♦️, J♣️","7♠️, 4♣️",P
"6♥️, 4♠️","K♠️, 8♦️",B
"7♠️, J♠️","A♣️, 5♦️",P
"2♣️, A♥️, K♠️","5♠️, 10♥️",B
"7♦️, 8♥️, A♥️","6♣️, K♣️",T
"6♠️, 6♠️, A♥️","A♥️, 3♠️",B
"3♠️, 7♦️, Q♣️","K♦️, 2♠️, Q♥️",B
"6♣️, 9♦️, 8♠️","7♠️, 7♦️",B
"J♥️, 3♠️, A♥️","3♦️, Q♣️, 6♥️",B
"5♣️, 3♠️","5♥️, 4♦️",T
"10♦️, 10♦️, Q♠️","Q♥️, 7♥️",B
"J♣️, 8♥️","J♥️, 2♦️",P
"2♥️, 2♥️","J♦️, 9♣️",B
"J♠️, 5♠️, 9♣️","8♦️, 6♥️",T
"3♥️, 4♣️","10♣️, 7♣️",T
"Q♠️, 5♦️","3♦️, 5♣️",B
"10♣️, 3♠️","3♣️, 6♣️",B
"J♦️, J♣️, 2♣️","Q♥️, 7♠️",B
"K♥️, 9♣️","5♥️, 4♥️",T
"2♦️, 3♦️","8♠️, A♣️",B
"A♣️, 3♦️, 2♣️","4♦️, 6♥️, 5♦️",P
"Q♣️, 9♠️","2♥️, 5♦️",P
"2♠️, 6♣️","5♠️, 2♥️",P
"2♥️, 3♥️, A♠️","Q♠️, 6♠️",T
"3♠️, 10♠️, 9♣️","10♦️, A♠️, Q♦️",P
"10♥️, 7♠️","3♠️, 5♣️",B
"4♥️, 6♠️, Q♣️","3♠️, K♦️, Q♦️",B
"9♣️, K♦️","6♠️, Q♦️",P
"8♣️, 10♠️","3♦️, 3♠️",P
"5♦️, 7♣️, 2♠️","J♠️, 5♦️",B
"7♦️, 6♠️, J♠️","3♣️, A♥️",B
"9♦️, K♣️","9♦️, J♣️",T
"2♣️, 7♠️","4♥️, 10♠️",P
"3♥️, 5♠️","9♠️, 6♣️",P
"5♣️, 8♠️, 8♣️","K♣️, 5♥️",B
"2♦️, 5♦️","9♣️, Q♠️",B
"8♥️, 7♥️, 3♥️","Q♣️, 5♦️",P
"7♣️, Q♣️","3♦️, 10♠️, 5♦️",B
"6♥️, 7♥️","7♣️, A♥️",B
"A♣️, 10♦️, 6♠️","7♠️, 8♣️, 9♥️",P
"9♠️, 7♥️","7♥️, 4♦️, J♠️",P
"6♠️, 10♣️","A♥️, 4♣️, 10♣️",P
"3♣️, 5♣️","K♣️, K♠️",P
"7♦️, 9♠️","Q♥️, 5♣️, 3♠️",B
"3♣️, 7♦️, 2♠️","7♠️, 8♦️",B
"6♦️, 3♥️","5♥️, 7♣️",P
"A♦️, A♥️, 7♥️","3♥️, J♣️, Q♣️",P
"5♠️, 9♥️, 9♣️","2♥️, 10♥️, 2♠️",B
"3♦️, 2♠️, 5♠️","5♦️, K♣️, 4♦️",B
"J♦️, 5♣️","8♠️, K♣️",B
"2♦️, A♦️, K♥️","K♦️, 2♣️, A♥️",T
"J♦️, Q♦️, A♥️","8♥️, 7♣️",B
"4♣️, 8♠️","2♠️, 7♦️",B
"A♣️, A♦️","8♣️, 10♣️",B
"4♣️, J♥️, A♦️","Q♥️, 10♦️, 5♥️",T
"Q♣️, J♦️, 6♠️","J♦️, 10♦️, 9♣️",B
"5♣️, 8♥️, 10♦️","4♠️, 9♣️, 2♥️",B
"2♥️, J♦️, Q♥️","4♠️, 10♠️",B
"2♥️, 3♥️, 3♣️","K♥️, 5♦️",P
"2♠️, 3♣️, 6♣️","A♦️, 6♣️",B
"A♥️, K♣️, Q♣️","8♣️, 2♥️, J♠️",P
"7♣️, 3♠️, 3♥️","10♥️, 2♠️, 10♣️",P
"2♠️, 7♦️","J♦️, Q♥️",P
"2♦️, 10♦️, 7♣️","3♦️, 10♠️, 8♠️",P
"5♣️, 7♦️, 6♠️","7♦️, 9♠️, 5♦️",P
"10♠️, J♣️, 2♦️","6♥️, Q♥️",B
"J♠️, 8♦️","J♣️, 9♦️",T
"10♠️, 6♥️","10♣️, A♦️, 8♦️",B
"4♣️, A♣️, A♠️","6♣️, 8♠️, 7♦️",P
"6♥️, Q♥️","K♠️, 7♠️",B
"7♥️, J♠️","A♠️, 5♥️",P
"7♦️, 2♦️","10♥️, 5♦️",P
"4♦️, A♠️","6♥️, 2♣️",B
"9♣️, 4♥️, 5♥️","7♣️, 4♦️, 6♣️",P
"9♥️, 4♣️, 6♠️","8♥️, 8♥️, 4♣️",P
"5♥️, A♦️","5♣️, 10♥️, A♣️",T
"3♠️, 3♠️","A♠️, 3♣️, 4♦️",B
"K♣️, 9♦️","5♥️, 8♣️",P
"5♠️, Q♦️, Q♣️","6♣️, 7♥️, 9♠️",P
"10♥️, A♥️","8♦️, 10♠️",B
"K♣️, 5♦️, 2♣️","4♥️, A♣️, 4♥️",B
"K♦️, A♥️, 7♣️","3♠️, K♣️, 2♥️",P
"10♦️, 2♣️","9♠️, J♥️",B
"2♥️, 6♥️","A♣️, 4♥️",P
"8♦️, 4♦️","Q♥️, 8♣️",B
"A♣️, 2♠️, 3♦️","8♠️, 5♥️, Q♥️",P
"8♣️, 6♣️","2♥️, 7♦️",B
"4♣️, 6♥️, A♦️","7♥️, Q♣️",B
"K♠️, 6♦️","7♠️, J♦️",B
"4♣️, 8♥️, 8♠️","10♠️, A♣️, 9♥️",T
"9♠️, J♣️","4♦️, 2♦️",P
"A♠️, 10♥️, 4♦️","J♥️, 10♣️, 8♦️",B
"J♠️, 7♦️","5♣️, 4♠️",B
"A♥️, 2♦️, 5♥️","5♠️, A♣️",P
"4♦️, 10♦️, K♥️","5♣️, 2♣️",B
"6♥️, 4♣️, 9♥️","3♣️, 8♦️, 3♣️",P
"5♠️, J♠️","4♥️, 4♦️",B
"6♣️, J♣️","2♠️, 5♠️",B
"7♥️, Q♦️","10♥️, J♥️, 6♦️",P
"J♣️, 10♦️, Q♠️","6♣️, 8♠️",B
"3♦️, Q♦️, 5♣️","Q♥️, Q♠️, 4♣️",P
"3♠️, 9♠️, 10♦️","4♠️, 7♠️, 10♥️",P
"J♥️, A♠️, K♣️","10♠️, 5♥️",B
"J♦️, 7♦️","9♦️, 9♦️",B
"8♣️, 4♣️","8♣️, A♣️",B
"A♣️, 10♣️, 8♣️","9♣️, 2♠️, Q♦️",P
"A♣️, Q♣️, 6♥️","9♥️, 5♠️, J♣️",P
"9♠️, 9♥️","J♥️, 7♥️",P
"J♦️, 2♥️, 10♥️","10♦️, 3♠️, 2♥️",B
"7♣️, Q♠️","K♥️, 6♦️",P
"3♠️, 2♦️, 2♥️","3♣️, K♠️, 7♦️",P
"7♦️, 3♥️, Q♣️","3♠️, 7♥️, Q♣️",T
"5♠️, K♠️, 9♠️","Q♦️, A♠️, 3♠️",T
"J♥️, 10♠️, J♠️","A♠️, 10♠️, J♦️",B
"7♠️, K♣️","A♠️, 3♠️, 7♦️",P
"Q♦️, 9♠️","9♠️, 5♥️",P
"3♦️, 2♠️, 2♣️","3♥️, K♥️, 9♣️",P
"A♣️, 7♣️","J♣️, 5♠️",P
"4♠️, 6♦️","8♥️, J♠️",B
"K♦️, 6♥️","6♦️, 9♥️, 2♥️",B
"2♣️, 4♠️","K♥️, 8♠️",B
"Q♥️, 5♥️, 7♥️","Q♠️, J♥️, 10♠️",P
"4♦️, 2♣️","Q♥️, 9♣️",B
"K♠️, 2♣️, 8♠️","4♣️, 2♦️",B
"7♣️, Q♥️","K♥️, 7♣️",T
"6♠️, 6♥️, 2♣️","A♠️, 3♥️, 7♣️",P
"A♥️, 6♣️","2♥️, 8♦️, 9♥️",B
"J♠️, A♠️, 5♦️","2♣️, K♥️, 8♣️",P
"3♠️, 7♦️","3♣️, 6♠️",B
"2♦️, 9♣️, 4♠️","K♣️, 2♥️, J♠️",P
"6♣️, 3♦️","J♦️, 5♦️",P
"A♠️, 7♦️","A♥️, 4♣️",P
"J♥️, 2♠️, 6♣️","7♥️, J♠️",P
"A♥️, K♥️, 4♠️","7♠️, 3♠️, K♣️",P
"7♥️, Q♥️","7♦️, K♦️",T
"Q♠️, 3♣️, J♣️","4♠️, 3♥️",B
"3♦️, Q♥️, 3♥️","6♥️, 4♠️, A♠️",P
"K♥️, A♥️","5♣️, 4♦️",B
"10♥️, K♥️, K♣️","8♠️, 9♠️",B
"5♠️, 3♦️","8♠️, 10♦️",T
"9♥️, Q♥️","10♠️, 10♦️",P
"A♣️, 8♥️","9♣️, 10♣️",T
"Q♥️, K♣️, 3♦️","6♣️, 8♥️, 7♥️",P
"7♣️, 4♣️, 7♥️","4♥️, 9♦️, J♥️",P
"3♥️, 2♣️, 5♥️","3♠️, 4♦️",B
"Q♥️, J♦️, 3♦️","J♠️, A♣️, 10♠️",P
"J♠️, 9♣️","4♦️, 4♣️",T
"A♠️, A♥️, 2♥️","5♣️, K♥️",B
"5♣️, 10♦️","10♣️, 8♥️",B
"2♦️, 9♣️, J♦️","7♥️, 7♦️",B
"2♥️, 8♥️, 10♥️","4♣️, A♠️",B
"Q♠️, 6♠️","3♦️, 2♥️, 9♠️",P
"3♦️, J♣️","8♠️, A♠️",B
"Q♠️, 3♣️","10♦️, 9♥️",B
"A♣️, 8♣️","3♦️, K♥️",P
"10♠️, K♦️, 3♠️","3♥️, K♠️, 8♦️",P
"4♣️, 6♦️, J♣️","4♣️, K♣️",B
"A♠️, 10♥️","A♦️, 8♣️",B
"10♠️, A♦️, K♠️","5♣️, 5♥️, 8♦️",B
"5♥️, A♦️","7♥️, 4♠️, 5♦️",T
"8♠️, 6♥️, 4♠️","3♥️, Q♦️, K♥️",P
"A♦️, K♦️","5♣️, 3♠️",B
"8♦️, 2♥️","J♣️, 9♣️",B
"J♠️, 5♥️, 4♣️","9♥️, A♣️, 8♥️",P
"3♥️, 5♦️","6♥️, 10♠️",P
"10♣️, 5♣️","5♦️, 4♣️",B
"3♦️, A♣️, 6♥️","2♥️, Q♣️, 3♥️",B
"J♣️, 3♠️, 6♥️","A♥️, 3♣️, 2♣️",P
"A♥️, 7♠️","10♦️, Q♠️",P
"6♦️, 9♠️, 6♦️","J♣️, 6♠️, 7♦️",B
"10♦️, K♦️, 4♣️","5♠️, 7♥️, 2♠️",T
"A♥️, 5♠️","10♠️, A♥️, J♥️",P
"7♣️, 2♣️","7♦️, A♦️",T
"5♣️, A♦️","8♥️, 9♠️",B
"4♣️, J♥️, 7♣️","7♥️, 6♦️, A♣️",B
"9♣️, 4♣️, 3♥️","7♠️, 9♥️",T
"6♠️, 8♠️, 10♠️","5♥️, J♠️",B
"4♠️, 2♣️","J♦️, 2♣️, K♥️",P
"A♣️, K♠️, 4♠️","8♦️, 4♥️, 8♠️",P
"J♠️, J♠️, 2♦️","A♦️, A♠️, 6♥️",B
"2♦️, 3♣️, 9♠️","4♥️, 3♠️",B
"A♠️, K♣️, 6♠️","3♣️, J♥️, 10♦️",P
"10♥️, 5♦️, 3♠️","6♥️, Q♠️",P
"2♦️, 2♠️, K♦️","J♦️, 10♣️, 2♣️",P
"A♠️, J♣️","Q♦️, 8♦️",B
"5♠️, 3♠️","5♦️, 5♦️",P
"4♣️, 4♦️","8♥️, 8♥️",P
"J♥️, K♦️, K♣️","4♠️, Q♠️",B
"3♣️, 3♦️","7♠️, K♠️",B
"2♣️, 7♣️","5♦️, 7♣️",P
"J♣️, 10♦️, 10♦️","A♥️, Q♦️, K♦️",B
"7♣️, 2♠️","2♠️, 7♥️",T
"Q♠️, 8♦️","6♣️, 5♦️",P
"10♥️, 9♣️","6♦️, Q♣️",P
"2♠️, 2♦️, 4♣️","6♣️, Q♠️",P
"4♣️, 8♥️, 4♠️","2♥️, 4♣️",T
"10♦️, Q♣️, 2♥️","8♦️, 8♥️",B
"9♠️, J♣️","Q♥️, 6♥️",P
"8♦️, A♦️","J♠️, 5♦️",P
"J♥️, 3♠️, K♥️","J♥️, A♠️, 10♥️",P
"K♦️, 4♦️, 10♠️","4♣️, K♥️",T
"5♣️, Q♥️, A♣️","K♣️, J♦️, J♣️",P
"6♠️, 4♥️, 9♥️","9♥️, A♠️, 3♠️",P
"5♣️, J♦️, Q♠️","A♣️, A♦️, 3♦️",T
"A♥️, 7♥️","6♣️, 6♥️",P
"6♠️, A♦️","7♦️, J♠️",T
"Q♠️, J♣️","8♦️, A♦️",B
"5♦️, 7♣️, 2♦️","10♥️, Q♠️, 2♥️",P
"Q♥️, 6♣️","5♦️, 10♦️, 3♠️",B
"8♥️, 7♥️, 6♣️","Q♠️, K♦️, 2♠️",B
"A♥️, 8♠️","6♦️, 6♠️",P
"4♣️, 9♣️","2♥️, 7♣️",B
"Q♦️, 7♥️","10♦️, 3♥️, 9♣️",P
"J♠️, 2♦️, 3♠️","5♠️, 9♦️, 7♣️",P
"Q♥️, J♣️","K♦️, 8♦️",B
"8♣️, 10♦️","8♥️, 10♥️",T
"A♠️, J♥️, J♦️","Q♥️, J♠️, 7♠️",B
"6♣️, 10♣️","6♦️, K♥️",T
"9♦️, J♦️","2♣️, 10♦️",P
"3♥️, 2♠️, Q♦️","5♥️, 8♦️, A♦️",P
"6♣️, K♥️","9♥️, K♠️",B
"A♠️, A♣️, A♠️","K♥️, Q♦️, A♥️",P
"3♣️, 8♠️, Q♣️","10♣️, 2♥️, 8♠️",P
"3♦️, 10♦️, 6♥️","9♣️, 8♠️",P
"10♥️, 5♦️, 7♦️","A♠️, 10♣️, K♣️",P
"A♦️, 6♠️","8♠️, 3♣️, 3♣️",P
"8♥️, 5♦️, Q♠️","7♦️, K♥️",B
"K♣️, Q♦️, 9♣️","Q♣️, 6♠️",P
"Q♠️, Q♠️, 2♣️","6♣️, K♠️",B
"J♠️, 8♦️","4♦️, 10♠️",P
"9♠️, 9♣️","4♦️, Q♥️",P
"J♠️, 3♣️, 5♠️","5♣️, 8♣️, 10♥️",P
"2♥️, 2♣️, 10♥️","3♠️, 10♣️, 4♥️",B
"A♥️, 8♠️","10♣️, 7♠️",P
"A♥️, 10♦️, K♠️","A♦️, 10♥️, 9♠️",P
"K♣️, 7♦️","9♣️, J♦️",B
"K♣️, J♣️","7♠️, A♣️",B
"7♥️, J♠️","6♥️, K♥️",P
"4♦️, J♣️, 7♦️","6♥️, A♣️",B
"K♣️, 8♠️","K♠️, 8♥️",T
"2♥️, 6♠️","2♣️, 4♥️",P
"9♠️, 5♦️, 9♦️","5♦️, Q♥️",B
"6♣️, Q♥️","Q♥️, 5♥️, K♣️",P
"5♠️, A♦️","5♣️, 6♥️, A♣️",P
"Q♠️, 5♣️, 4♥️","2♥️, 8♦️, 2♠️",P
"Q♦️, 10♠️, 9♠️","10♥️, 5♣️",P
"2♠️, 7♦️","K♠️, 4♥️",P
"K♣️, 5♥️, Q♠️","9♦️, 7♥️",B
"5♠️, 7♥️, 3♥️","4♦️, 3♥️",B
"8♣️, K♣️","A♠️, 8♥️",T
"A♥️, 8♣️","8♠️, K♥️",T
"10♠️, 2♣️, 9♣️","8♣️, 7♠️",B
"10♥️, Q♠️, 9♣️","7♦️, 6♦️, 3♦️",P
"3♠️, K♦️, 8♠️","8♠️, 8♦️",B
"5♥️, 8♠️, 7♦️","3♠️, A♣️, 7♠️",B
"Q♥️, 8♥️","9♦️, 4♥️",P
"7♥️, A♦️","8♥️, 5♣️",P
"8♥️, K♥️","7♠️, 8♠️",P
"9♣️, 5♥️, 6♣️","2♦️, Q♠️, 5♣️",B
"5♦️, K♦️, 3♠️","6♠️, 5♣️, 2♣️",P
"6♥️, 8♥️, J♥️","9♠️, A♣️, 7♦️",B
"10♦️, 9♠️","7♠️, A♣️",T
